AuthorID,Author,Date,Content,Attachments,Reactions,Label,Audit
883062602484318258,nancynik#0171,21-Feb-22 09:15,Check,,,,
159985870458322944,MEE6#4876,21-Feb-22 09:30,"Nice ! @SINNERS, you just advanced to level 1!",,,,
883062602484318258,nancynik#0171,21-Feb-22 09:32,@everyone,,,,
498050946660827136,lemooon#7269,21-Feb-22 09:33,Yooo,,,,
159985870458322944,MEE6#4876,21-Feb-22 09:33,"Nice ! @lemooon, you just advanced to level 1!",,,,
294486089496920065,Nardise#9448,21-Feb-22 09:33,Gimme for free,,,,
294486089496920065,Nardise#9448,21-Feb-22 09:33,Thx bye,,,,
725626563722346588,Emi | CosmoDino#2398,21-Feb-22 09:34,Whats up boys,,,,
725626563722346588,Emi | CosmoDino#2398,21-Feb-22 09:34,What y’all willing to pay for a knight OGB blue,,,,
725626563722346588,Emi | CosmoDino#2398,21-Feb-22 09:34,GOB*,,,,
825849868630097940,Yamin#2504,21-Feb-22 09:35,yoooooo lesssgooo dino fam,,,1,1
883062602484318258,nancynik#0171,21-Feb-22 09:35,"You can talk about list
Delist 
Prices
❤❤❤❤",,,,
660147082644160552,Hyslon#6014,21-Feb-22 09:36,https://opensea.io/assets/0x2c4929295042cb95ab1900d323d634ee8def3c7a/5476/,,,,
916035132505337927,neil#6666,21-Feb-22 09:37,first,,,,
206591690507550721,Bara#1337,21-Feb-22 09:46,buying love 😉,,,,
294486089496920065,Nardise#9448,21-Feb-22 10:05,Gimme one for free thx bye,,,,
206591690507550721,Bara#1337,21-Feb-22 10:05,1 dino = 1 dino,,,,
657482985876226053,pgarcia210#8295,21-Feb-22 10:05,Hi,,,,
159985870458322944,MEE6#4876,21-Feb-22 10:05,"Nice ! @pgarcia210, you just advanced to level 1!",,,,
111417438599405568,YourBroChiep#8241,21-Feb-22 10:05,Pamp ittttttttt,,,1,1
285391325682204672,scrvl#0001,21-Feb-22 10:05,LETS GOOOO,,,1,1
694321238004334622,ElMexicano701 | Lost Kaiju 🆘🦖🌀#0362,21-Feb-22 10:05,1eth,,,,
694321238004334622,ElMexicano701 | Lost Kaiju 🆘🦖🌀#0362,21-Feb-22 10:05,Wen?!,,,,
914787216700612618,CubanBGood(SHINOBI BUNNY)#1980,21-Feb-22 10:05,LAVA!!!!!,,,,
474135982619361280,Flynn's Nan#7220,21-Feb-22 10:05,wen WL,,,,
922392445566726145,Qamber#4533,21-Feb-22 10:05,Delisted mine,,,1,1
474135982619361280,Flynn's Nan#7220,21-Feb-22 10:05,lmao,,,,
230623468356501504,Muz#5193,21-Feb-22 10:05,🙂,,,,
919920321937694720,SMRK#5187,21-Feb-22 10:05,100 ETH? 🤝,,,,
159985870458322944,MEE6#4876,21-Feb-22 10:05,"Nice ! @SMRK, you just advanced to level 3!",,,,
657482985876226053,pgarcia210#8295,21-Feb-22 10:05,Lava,,,,
556007081635872788,cryptodog#2063,21-Feb-22 10:05,10e?,,,,
