AuthorID,Author,Date,Content,Attachments,Reactions,Label,Audit
621697937298292736,adu#4651,02-Mar-22 21:00,floor be like,,,,
621697937298292736,adu#4651,02-Mar-22 21:00,can I get a special role called under the floor,,🤣 (2),0,0
621697937298292736,adu#4651,02-Mar-22 21:01,because I talked here first,,,,
932836331409788988,TajxFoster#3473,02-Mar-22 21:01,Lmao,,,,
621697937298292736,adu#4651,02-Mar-22 21:01,hi fellow Hypnomaniac,,,0,0
948289324846305280,GarageSalesss#4369,02-Mar-22 21:01,😂,,,,
621697937298292736,adu#4651,02-Mar-22 21:01,,https://cdn.discordapp.com/attachments/948685781243953212/948686556397441034/video.gif,,,
708491401972678798,Reksir#5971,02-Mar-22 21:01,It's about the community,,,,
621697937298292736,adu#4651,02-Mar-22 21:02,lets ruin the whole point of Floor,,🚀 (3),,
937883595798892544,alessonoma#9798,02-Mar-22 21:02,Sweep 🧹,,,1,1
621697937298292736,adu#4651,02-Mar-22 21:02,so nobody uses this channell!!!,,🤓 (1),,
159985870458322944,MEE6#4876,02-Mar-22 21:02,"GG @alessonoma, you just advanced to level 8!",,,,
621697937298292736,adu#4651,02-Mar-22 21:02,Its about monkeys,,,,
621697937298292736,adu#4651,02-Mar-22 21:02,do you like Monkeys,,,,
708491401972678798,Reksir#5971,02-Mar-22 21:02,"Floor going to zero
We got the community tho bro ❤️
Floor doesn't matter
Community bro ❤️",,,0,0
697278497852358698,Jaxk#9114,02-Mar-22 21:03,zfloor,,,0,0
708491401972678798,Reksir#5971,02-Mar-22 21:03,!floor,,,0,0
621697937298292736,adu#4651,02-Mar-22 21:03,im under the floor,,,0,0
708491401972678798,Reksir#5971,02-Mar-22 21:03,:SurpriseEyessm225: :SurpriseEyessm225: :SurpriseEyessm225: :SurpriseEyessm225:,,,,
937504499763908688,thickasthieves#7598,02-Mar-22 21:05,🤣,,,,
400174135403347969,Alpod#2790,02-Mar-22 21:06,This channel should be named PAPERHAND talk,,😂 (4),0,0
601231678584651778,drone seer#8503,02-Mar-22 21:06,This channel is for babies 👶 🍼,,,,
341371883981373484,HYPEGallery#9161,02-Mar-22 21:07,LFG!,,,1,1
869613280224751678,Harks#6920,02-Mar-22 21:07,wen sweep,,,1,1
660055421100490762,Captngeorge#0001,02-Mar-22 21:07,:KEKW: :HyperCat:,,,,
660055421100490762,Captngeorge#0001,02-Mar-22 21:08,wen delist,,,,
621697937298292736,adu#4651,02-Mar-22 21:09,**guy under the guy under me is a paperhand**,,😂 (5),,
933425618488557618,rambo.eth#6251,02-Mar-22 21:10,hope floor goes to 0,,🔥 (1),0,1
159985870458322944,MEE6#4876,02-Mar-22 21:10,"GG @rambo.eth, you just advanced to level 7!",,,,
933425618488557618,rambo.eth#6251,02-Mar-22 21:11,So everyone would shut the fuck up,,,,
842649037731659786,wowkk#4385,02-Mar-22 21:11,I don’t care floor,,💯 (4),,
842649037731659786,wowkk#4385,02-Mar-22 21:11,Because our community is very strong,,,,
401965026585346068,Preme#2765,02-Mar-22 21:11,This is floor talk,,,,
933425618488557618,rambo.eth#6251,02-Mar-22 21:11,Watch how strong the community is if we go to .2 lol,,,,
842649037731659786,wowkk#4385,02-Mar-22 21:12,"If in bull market, fp must up 5eth",,,,
708491401972678798,Reksir#5971,02-Mar-22 21:12,"Floor going to zero
We got the community tho bro
Floor doesn't matter
Community bro ❤️",,🤣 (4),0,0
400174135403347969,Alpod#2790,02-Mar-22 21:12,Sup fucktard,,,,
427727524294819840,BRAINLEAK#8733,02-Mar-22 21:12,,https://cdn.discordapp.com/attachments/948685781243953212/948689231495188530/FMhnIlDVIAQl93K.png,,,
842649037731659786,wowkk#4385,02-Mar-22 21:12,Yep,,,,
933425618488557618,rambo.eth#6251,02-Mar-22 21:12,sup broke boy,,,,
400174135403347969,Alpod#2790,02-Mar-22 21:12,We don’t care about floor because we ain’t selling,,,0,0
842649037731659786,wowkk#4385,02-Mar-22 21:13,I even didn’t list my cats,,,,
